filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,326,490,mobile,386.994,24.01,426.994,64.01
1.jpg,326,490,mobile,406.986,36.0068,446.986,76.0068
3.jpg,326,490,mobile,315.993,206.0158,355.993,246.0158
4.jpg,326,490,mobile,305.997,178.9904,345.997,218.9904
5.jpg,326,490,mobile,394.981,49.0142,434.981,89.0142
6.jpg,326,490,mobile,153.019,233.9866,193.019,273.9866
7.jpg,326,490,mobile,38.016,36.0068,78.016,76.0068
8.jpg,326,490,mobile,300.999,92.9916,340.999,132.9916
9.jpg,326,490,mobile,159.977,73.0078,199.977,113.0078
10.jpg,326,490,mobile,220.982,122.0056,260.982,162.0056
11.jpg,326,490,mobile,379.007,206.0158,419.007,246.0158
12.jpg,326,490,mobile,70.993,260.0014,110.993,300.0014
13.jpg,326,490,mobile,166.004,70.0086,206.004,110.0086
14.jpg,326,490,mobile,85.987,98.99,125.987,138.99
15.jpg,326,490,mobile,124.991,271.9982,164.991,311.9982
16.jpg,326,490,mobile,264.004,86.9932,304.004,126.9932
17.jpg,326,490,mobile,225,144.0106,265,184.0106
18.jpg,326,490,mobile,306.977,92.9916,346.977,132.9916
20.jpg,326,490,mobile,149.001,234.9972,189.001,274.9972
22.jpg,326,490,mobile,78.98,166.9936,118.98,206.9936
23.jpg,326,490,mobile,183.987,181.9896,223.987,221.9896
24.jpg,326,490,mobile,381.016,79.0062,421.016,119.0062
25.jpg,326,490,mobile,257.977,62.9996,297.977,102.9996
26.jpg,326,490,mobile,104.999,221.0118,144.999,261.0118
27.jpg,326,490,mobile,286.005,79.9842,326.005,119.9842
29.jpg,326,490,mobile,83.978,98.012,123.978,138.012
30.jpg,326,490,mobile,53.01,101.9892,93.01,141.9892
31.jpg,326,490,mobile,295.021,86.0152,335.021,126.0152
32.jpg,326,490,mobile,293.992,21.0108,333.992,61.0108
33.jpg,326,490,mobile,34.978,92.9916,74.978,132.9916
34.jpg,326,490,mobile,114.015,83.016,154.015,123.016
35.jpg,326,490,mobile,190.014,185.9994,230.014,225.9994
36.jpg,326,490,mobile,391.012,224.989,431.012,264.989
37.jpg,326,490,mobile,396.01,196.0076,436.01,236.0076
38.jpg,326,490,mobile,107.988,242.0062,147.988,282.0062
39.jpg,326,490,mobile,278.998,88.0038,318.998,128.0038
40.jpg,326,490,mobile,317.022,187.01,357.022,227.01
41.jpg,326,490,mobile,70.013,217.002,110.013,257.002
42.jpg,326,490,mobile,352.008,245.0054,392.008,285.0054
43.jpg,326,490,mobile,306.977,105.999,346.977,145.999
44.jpg,326,490,mobile,38.996,156.0074,78.996,196.0074
45.jpg,326,490,mobile,413.993,123.0162,453.993,163.0162
46.jpg,326,490,mobile,235.976,129.0146,275.976,169.0146
47.jpg,326,490,mobile,72.022,15.9904,112.022,55.9904
48.jpg,326,490,mobile,274.98,17.001,314.98,57.001
49.jpg,326,490,mobile,403.997,190.0092,443.997,230.0092
50.jpg,326,490,mobile,180.018,233.9866,220.018,273.9866
51.jpg,326,490,mobile,97.012,175.9912,137.012,215.9912
52.jpg,326,490,mobile,246.021,71.9972,286.021,111.9972
53.jpg,326,490,mobile,144.003,5.0042,184.003,45.0042
54.jpg,326,490,mobile,315.013,224.011,355.013,264.011
55.jpg,326,490,mobile,139.005,132.0138,179.005,172.0138
57.jpg,326,490,mobile,413.993,183.0002,453.993,223.0002
58.jpg,326,490,mobile,394.001,30.9864,434.001,70.9864
59.jpg,326,490,mobile,146.012,212.9922,186.012,252.9922
60.jpg,326,490,mobile,53.99,97.0014,93.99,137.0014
61.jpg,326,490,mobile,144.003,92.0136,184.003,132.0136
62.jpg,326,490,mobile,55.019,60.0004,95.019,100.0004
63.jpg,326,490,mobile,127,252.9924,167,292.9924
64.jpg,326,490,mobile,112.006,252.0144,152.006,292.0144
66.jpg,326,490,mobile,379.987,156.9854,419.987,196.9854
67.jpg,326,490,mobile,2.001,251.0038,42.001,291.0038
68.jpg,326,490,mobile,26.991,24.01,66.991,64.01
69.jpg,326,490,mobile,99.021,203.9946,139.021,243.9946
70.jpg,326,490,mobile,186.976,60.0004,226.976,100.0004
71.jpg,326,490,mobile,396.99,218.9906,436.99,258.9906
72.jpg,326,490,mobile,315.013,101.0112,355.013,141.0112
73.jpg,326,490,mobile,212.995,154.9968,252.995,194.9968
74.jpg,326,490,mobile,104.019,49.0142,144.019,89.0142
75.jpg,326,490,mobile,362.004,223.0004,402.004,263.0004
76.jpg,326,490,mobile,379.007,211.0036,419.007,251.0036
77.jpg,326,490,mobile,195.992,144.9886,235.992,184.9886
78.jpg,326,490,mobile,349.999,138.0122,389.999,178.0122
79.jpg,326,490,mobile,330.007,126.9934,370.007,166.9934
80.jpg,326,490,mobile,355.977,70.0086,395.977,110.0086
81.jpg,326,490,mobile,224.02,263.0006,264.02,303.0006
82.jpg,326,490,mobile,273.02,21.0108,313.02,61.0108
83.jpg,326,490,mobile,266.013,49.0142,306.013,89.0142
84.jpg,326,490,mobile,328.978,212.0142,368.978,252.0142
85.jpg,326,490,mobile,70.993,62.9996,110.993,102.9996
86.jpg,326,490,mobile,95.003,52.0134,135.003,92.0134
87.jpg,326,490,mobile,122.982,73.9858,162.982,113.9858
88.jpg,326,490,mobile,136.016,86.0152,176.016,126.0152
89.jpg,326,490,mobile,112.986,98.012,152.986,138.012
90.jpg,326,490,mobile,110.977,147.0098,150.977,187.0098
91.jpg,326,490,mobile,227.009,52.9914,267.009,92.9914
92.jpg,326,490,mobile,293.992,209.993,333.992,249.993
93.jpg,326,490,mobile,374.989,67.9874,414.989,107.9874
94.jpg,326,490,mobile,146.012,125.0048,186.012,165.0048
95.jpg,326,490,mobile,104.999,82.0054,144.999,122.0054
96.jpg,326,490,mobile,210.986,255.0136,250.986,295.0136
97.jpg,326,490,mobile,350.979,119.0064,390.979,159.0064
98.jpg,326,490,mobile,247.981,242.0062,287.981,282.0062
99.jpg,326,490,mobile,161.986,153.0082,201.986,193.0082
100.jpg,326,490,mobile,381.996,258.9908,421.996,298.9908
